Longitude,Latitude,Address
-85.25861438,35.07393678, 2900 RIVERSIDE DR
-85.22367884,35.08104898, 4062 GLENCOE ST
-85.23385348,35.07942798, 2821 RIDGECREST DR
-85.25765134,35.07852557, 1400 WISDOM ST
-85.25140246,35.0665179, 2512 TAYLOR ST
-85.24559633,35.07794431, 3517 TAYLOR ST
-85.22522489,35.07756243, 3903 BRYANT ST
-85.23557087,35.07748496, 3618 PARKWAY DR
-85.23646086,35.07799715, 2709 RIDGECREST DR
-85.22852182,35.07839615, 3912 BONNY OAKS DR
-85.23203997,35.0719531, 3605 WAUCHULA ST
-85.21104569,35.07499062, 4301 TEE PEE DR
-85.22259505,35.07985687, 4139 BONNY OAKS DR
-85.22517731,35.08029448, 4047 GLENCOE ST
-85.23484022,35.07792933, 3621 PARKWAY DR
-85.24735663,35.07320967, 2304 ELMENDORF ST
-85.23220629,35.07173622, 3603 WAUCHULA ST
-85.24674249,35.07073517, 2411 STUART ST
-85.23077953,35.07304299, 3654 WAUCHULA ST
-85.24554841,35.07723136, 3508 TAYLOR ST
-85.24634021,35.07565704, 3318 TAYLOR ST
-85.24752663,35.07435173, 2215 SEARLE ST
-85.22945663,35.0732606, 3714 SALUDA ST
-85.25515198,35.07807678, 1601 WISDOM ST
-85.23721986,35.07657831, 3611 MOUNTAIN VIEW DR
-85.26030347,35.07215515, 2709 RIVERSIDE DR
-85.21067029,35.07295357, 4305 THUNDERBIRD DR
-85.2293369,35.07811621, 3889 BONNY OAKS DR
-85.25524893,35.07526314, 1705 WILDER ST
-85.25112021,35.07304227, 3010 CURTIS ST
-85.25845772,35.07887212, 1302 WISDOM ST
-85.22612665,35.08103621, 4049 HOMER ST
-85.24035516,35.07545421, 3421 VINEWOOD DR
-85.26824713,35.06644783, 2105 DELANO DR
-85.21634536,35.08421343, 4216 BENTON DR
-85.2362752,35.09009625, 4201 WALNUT ST
-85.24373801,35.07131065, 3108 NOA ST
-85.24585174,35.0662214, 2660 GLASS ST
-85.23615803,35.07649836, 3608 PARKWAY DR
-85.23495,35.07525957, 2812 FAIRVIEW DR
-85.24877606,35.0765124, 2108 ALLIN ST
-85.23594936,35.07631066, 3606 PARKWAY DR
-85.24439061,35.06848989, 2615 FROST ST
-85.22946193,35.07418027, 3733 SALUDA ST
-85.2270193,35.07597746, 3843 WAUCHULA ST
-85.24036458,35.07529168, 3419 VINEWOOD DR
-85.21144261,35.07454294, 4302 TEE PEE DR
-85.2219317,35.07940485, 4154 BONNY OAKS DR
-85.21202257,35.08074216, 4280 BONNY OAKS DR
-85.24670378,35.07162876, 2406 WILDER ST
-85.22724977,35.08113509, 4038 LOFTIS ST
-85.23922167,35.07894213, 2513 RIDGECREST DR
-85.26599929,35.07206278, 1010 APPLING ST
-85.21156276,35.08085612, 4288 BONNY OAKS DR
-85.23291613,35.07300814, 3631 SAPULPA ST
-85.26745227,35.06707915, 2115 DELANO DR
-85.24677607,35.07577759, 3315 TAYLOR ST
-85.23463813,35.08385558, 2601 BOYCE ST
-85.2396906,35.07737625, 3508 E  CREST DR
-85.23957462,35.07753227, 3510 E  CREST DR
-85.22224309,35.07988063, 4147 BONNY OAKS DR
-85.23188374,35.07222308, 3619 WAUCHULA ST
-85.26646437,35.0721785, 1002 APPLING ST
-85.24999084,35.08436318, 3900 N  HAWTHORNE ST
-85.25047082,35.07438167, 2100 ELMENDORF ST
-85.25763497,35.077019, 3111 RIVERSIDE DR
-85.25037031,35.07535197, 3209 CURTIS ST
-85.23075555,35.06672482, 3052 TOWERWAY DR
-85.25244887,35.07288591, 2005 STUART ST
-85.22820589,35.08110468, 4021 LOFTIS ST
-85.2303231,35.07193962, 3626 SALUDA ST
-85.24852651,35.07177969, 3004 TAYLOR ST
-85.22487707,35.08152793, 4074 HOMER ST
-85.23272636,35.08304304, 2632 BOYCE ST
-85.22549639,35.08220946, 3109 GRANADA ST
-85.24603418,35.07622373, 3408 TAYLOR ST
-85.21180173,35.0719367, 3826 DEERFOOT DR
-85.24931052,35.07172617, 2213 STUART ST
-85.24541727,35.07815411, 3521 TAYLOR ST
-85.26922652,35.06658187, 2111 ELENA DR
-85.20963955,35.07210366, 4314 THUNDERBIRD DR
-85.21192792,35.08148067, 4285 BONNY OAKS DR
-85.25275997,35.07867284, 3325 N  HAWTHORNE ST
-85.2282573,35.07598215, 3834 WAUCHULA ST
-85.24310257,35.06878519, 2600 CAMPBELL ST
-85.24841612,35.071395, 2305 STUART ST
-85.26305685,35.08033337, 910 WISDOM ST
-85.2255985,35.07840913, 3126 DWIGHT ST
-85.23322929,35.07408305, 3002 TUGALOO ST
-85.22634312,35.05285944, 3729 HEMINGWAY DR
-85.26388095,35.05553939, 1900 CAMDEN ST
-85.25222256,35.06470654, 2309 GLASS ST
-85.2431922,35.07943108, 3534 TAYLOR ST
-85.23270749,35.07356794, 3008 TUGALOO ST
-85.23156441,35.06669035, 3046 TOWERWAY DR
-85.25015483,35.07480994, 3202 CURTIS ST
-85.25176281,35.07285086, 3003 CURTIS ST
-85.25223027,35.07201585, 2913 CURTIS ST
-85.21151856,35.07155479, 3824 DEERFOOT DR
